StoreName,StoreAddress,StoreCity,StoreState,StoreZipCode,DoorSwings,Latitude,Longitude
Wesel Boulevard,1580 Wesel Blvd,Hagerstown,MD,21740,1179,39.63304,-77.75875
Cedar Crest,1784 Quentin Road,Lebanon,PA,17042,1420,40.31207,-76.42478
Maugans Avenue,18634 Maugans Ave,Hagerstown,MD,21740,4534,39.686695,-77.723175
Loudoun Street,1921 S. Loudoun St,Winchester,VA,22601,3758,39.165314,-78.17172
Galleria Mall,2899 Whiteford Rd,York,PA,,2609,39.986897,-76.67707
Crossroads Center,351 Loucks Road,York,PA,17404,1308,39.983467,-76.740204
CP HRBG Walnut Street,3725 Walnut St,Harrisburg,PA,17109,1225,40.289352,-76.83559
Colonial Commons,3905 Union Deposit Rd,Harrisburg,PA,17110,1693,40.278366,-76.82483
Silver Creek,6391 Carlisle Pike Suite 106,Mechanicsburg,PA,17050,1410,40.246735,-77.00373
Foxcroft Avenue,775 Foxcroft Ave,Martinsburg,WV,25401,5269,39.461693,-77.98725
Woodstock Main,920 S Main St,Woodstock,VA,22664,1878,38.86757,-78.517456