Store Name,Store Address,Store City,Store State,Store Zip Code,Door Swings,,
Wesel Boulevard,1580 Wesel Blvd,Hagerstown,MD,21740,1179,"-77.75875,39.63304",612159654
Cedar Crest,1784 Quentin Road,Lebanon,PA,17042,1420,"-76.42478,40.31207",80685663
Maugans Avenue,18634 Maugans Ave,Hagerstown,MD,21740,4534,"-77.723175,39.686695",60785225
Loudoun Street,1921 S. Loudoun St,Winchester,VA,22601,3758,"-78.17172,39.165314",55578903
Plank Road,2754 Plank Rd Commons A-28,Altoona,PA,16601,0,,
Galleria Mall,2899 Whiteford Rd,York,PA,,2609,"-76.67707,39.986897",88733310
Crossroads Center,351 Loucks Road,York,PA,17404,1308,"-76.740204,39.983467",88729959
CP HRBG Walnut Street,3725 Walnut St,Harrisburg,PA,17109,1225,"-76.83559,40.289352",70821146
Colonial Commons,3905 Union Deposit Rd,Harrisburg,PA,17110,1693,"-76.82483,40.278366",628997830
Gateway Avenue,450 Gateway Ave,Chambersburg,PA,,2276,,
Silver Creek,6391 Carlisle Pike Suite 106,Mechanicsburg,PA,17050,1410,"-77.00373,40.246735",60951625
Foxcroft Avenue,775 Foxcroft Ave,Martinsburg,WV,25401,5269,"-77.98725,39.461693",123389127
Woodstock Main,920 S Main St,Woodstock,VA,22664,1878,"-78.517456,38.86757",55930133